,Title,Subtitle,Link
0,RASH DECISION?,Rashford OFFSIDE for his winner vs Liverpool but new rules mean goal stood,https://www.thesun.co.uk/sport/19593019/marcus-rashford-offside-man-utd-liverpool/
1,ON THE CASE,Man Utd giving Casemiro round-the-clock security and helping star find new home,https://www.thesun.co.uk/sport/19592817/man-utd-casemiro-security-anna-house/
2,ART DEALER,Arsenal on Uefa watchlist of teams in danger of breaching FFP rules,https://www.thesun.co.uk/sport/19589101/arsenal-uefa-danger-breaching-ffp-rules-transfer-spree/
3,GOR BLIMEY,Anthony Gordon 'tells Everton he wants to QUIT after Chelsea launch £60m bid',https://www.thesun.co.uk/sport/19589742/chelsea-launch-anthony-gordon-transfer-bid-60m-everton/
4,MEGA BONUS,HeySpin casino: Get 100% bonus on your first deposit up to £25 and 25 free spins,https://www.thesun.co.uk/sport/betting-tips/18990724/heyspin-casino-welcome-bonus-sign-up/
5,HAG TO WATCH,Supercomputer predicts final Prem table with Man Utd outsiders for top four,https://www.thesun.co.uk/sport/19591323/supercomputer-predicts-man-utd-liverpool/
6,MANE MAN,Classy Mane told ref to DISALLOW his goal for Bayern but scored again instantly,https://www.thesun.co.uk/sport/19592134/sadio-mane-tells-referee-disallow-bayern-goal-handball/
7,RED DEVIL,Man Utd fans in hysterics with Fernandes 's***housery' at end of Liverpool win,https://www.thesun.co.uk/sport/19590061/man-utd-fans-bruno-fernandes-liverpool/
8,STORMED ON,Keane left bemused after Stormzy gatecrashes Sky Sports after Man Utd's win,https://www.thesun.co.uk/sport/19588363/roy-keane-stormzy-sky-sports-man-utd-liverpool/
9,'REMEMBER THE NAME',"Ben Doak, 16, is starring for Liverpool's U18s and could replace Mane",https://www.thesun.co.uk/sport/19592935/doak-liverpool-wonderkid-sadio-mane/
10,ROO-S-A,Inside Coleen Rooney’s US holiday with Wayne and the kids - after family reunite,https://www.thesun.co.uk/sport/19590888/coleen-rooney-wayne-us-holiday-wagatha-christie-court/
11,'I WANT JUSTICE',Mum plans legal action against Ronaldo after he smashed her son’s phone,https://www.thesun.co.uk/sport/19589095/cristiano-ronaldo-mum-legal-action-phone/
12,KAK ON TRACK,Kaka opens door to first management job after Brazil icon gets coaching badges,https://www.thesun.co.uk/sport/19592985/kaka-opens-door-management-coaching-badges-brazil/
13,AUB-OUT TURN,Chelsea move closer to sealing Aubameyang transfer with £25m set to be enough,https://www.thesun.co.uk/sport/19587460/chelsea-pierre-emerick-aubameyang-transfer-barcelona/
14,GIFT OF THE GAB,Arsenal open talks with Martinelli over long-term deal with huge pay-rise,https://www.thesun.co.uk/sport/19590981/arsenal-martinelli-new-long-term-deal-pay-rise/
